Ruangan
7602;07.00;14.00;1,3,4,5
7603;07.00;14.00;1,3,5
7610;09.00;12.00;1,2,3,4,5
Labdas2;10.00;14.00;2,4
7604;07.00;13.00;2,5
Multimedia;07.00;14.00;4,5


Jadwal
IF2110;7602;07.00;12.00;4;1,2,3,4,5
IF2130;-;10.00;16.00;3;3,4
IF2150;-;09.00;13.00;2;1,3,5
IF2170;7610;07.00;12.00;3;1,2,3,4,5
IF3110;7602;07.00;09.00;2;1,2,3,4,5
IF3130;-;07.00;12.00;2;3,4,5
IF3170;7602;07.00;09.00;2;1,2,3,4,5
IF3111;-;07.00;12.00;2;1,2,3,4,5
IF2121;-;08.00;14.00;3;2,3,4
IF3150;7604;07.00;09.00;3;2,3,5
IF3150;Multimedia;07.00;09.00;3;4,5
IF3151;7603;10.00;13.00;2;2,4,5
IF3170;-;08.00;10.00;3;2,4,5
IF2110;-;08.00;10.00;3;2,4,5
IF2130;-;09.00;11.00;2;3,5
IF2150;-;09.00;11.00;2;3,5
IF2110;7610;09.00;12.00;2;5
